Area,EXT_hour,Element ID,External ID,PACKT_CI,PACKT_Incl,PACKT_Nocc,PACKT_PMV,PACKT_Tdb,PACKT_Tr,PACKT_Vr,PACKT_W,PACKT_clo,PACKT_met,PACKT_rh,Room Name,Room Number
60.0,,828508,,0.3766666666666667,Yes,24,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Café,101
40.0,,828515,,0.6041666666666667,Yes,3,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Café Kitchen,102
138.0,,828534,,0.4030434782608696,Yes,50,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Commercial/Retail,105
89.0,,828537,,0.5780149812734083,Yes,10,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Residential Lobby,106
214.0,,828548,,0.4276947040498443,Yes,70,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Commercial/Retail,108
105.0,,828551,,0.49,Yes,25,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Commercial/Retail,109
55.0,,829648,,0.6184848484848485,Yes,3,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Corridor,201
78.0,,829709,,0.6387179487179487,Yes,2,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Live/Work Unit,202
55.0,,829712,,0.643939393939394,Yes,1,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Studio Unit,203
53.0,,829715,,0.6302515723270441,Yes,2,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Two Story Studio Unit,204
103.0,,829718,,0.643074433656958,Yes,2,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Live/Work Unit,205
79.0,,2177792,,0.0718565400843882,Yes,66,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Mezzanine Dining,200
225.0,,829817,,0.5820000000000001,Yes,24,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Office Unit,301
61.0,,829824,,0.62224043715847,Yes,3,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Corridor,302
78.0,,829850,,0.6387179487179487,Yes,2,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Live/Work Unit,303
55.0,,829853,,0.643939393939394,Yes,1,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Studio Unit,304
106.0,,829859,,0.6434591194968554,Yes,2,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Live/Work Unit,306
103.0,,829862,,0.643074433656958,Yes,2,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Live/Work Unit,307
54.0,,829865,,0.6307407407407408,Yes,2,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Live/Work Unit,308
71.0,,829868,,0.6369483568075118,Yes,2,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Live/Work Unit,309
216.0,,829896,,0.9320370370370372,Yes,22,-0.14,28.0,23.0,0.25,0.0,0.5,1.2,35.0,Office Unit,401
53.0,,830675,,0.6302515723270441,Yes,2,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Two Story Studio Unit,406
59.0,,830676,,0.6210734463276837,Yes,3,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Corridor,402
78.0,,830678,,0.6387179487179487,Yes,2,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Live/Work Unit,403
55.0,,830680,,0.6312121212121213,Yes,2,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Studio Unit,404
106.0,,830682,,0.6434591194968554,Yes,2,-1.18,22.0,23.0,0.25,0.0,0.5,1.2,35.0,Live/Work Unit,407
